         52189 function calls (51126 primitive calls) in 5.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      174    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:600(__len__)
       48    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\flags.py:47(__init__)
        3    0.000    0.000    0.013    0.004 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\resample.py:1488(_get_time_bins)
       32    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\construction.py:554(_try_cast)
      213    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\blocks.py:265(mgr_locs)
      117    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:429(is_timedelta64_dtype)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\lib\function_base.py:1153(diff)
       87    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\blocks.py:161(_check_ndim)
       36    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
       33    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:206(shape)
        6    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.isnaobj}
       12    0.000    0.000    0.007    0.001 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\groupby\grouper.py:439(__init__)
      113    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\_dtype.py:24(_kind_name)
       72    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:355(is_datetime64_dtype)
       27    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\cast.py:1617(construct_1d_object_array_from_listlike)
       12    0.000    0.000    0.004    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\extension.py:237(__getitem__)
       96    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\_mixins.py:107(__len__)
        3    0.000    0.000    2.767    0.922 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\parsers.py:533(read_csv)
       24    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        3    0.000    0.000    0.052    0.017 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\blocks.py:2093(to_native_types)
       74    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\construction.py:354(extract_array)
        1    0.000    0.000    0.007    0.007 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\resample.py:1(<module>)
        6    0.000    0.000    0.194    0.032 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:1260(reindex_indexer)
        6    0.000    0.000    0.005    0.001 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\common.py:491(get_handle)
       23    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:1863(_asarray_compat)
       51    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\_methods.py:53(_any)
